surgery_id,start_time,end_time
S00265,2025-01-01T13:05:00+00:00,2025-01-01T14:45:00+00:00
S00204,2025-01-01T13:20:00+00:00,2025-01-01T13:50:00+00:00
S00245,2025-01-01T13:25:00+00:00,2025-01-01T14:35:00+00:00
S00285,2025-01-01T13:25:00+00:00,2025-01-01T16:35:00+00:00
S00165,2025-01-01T13:30:00+00:00,2025-01-01T15:05:00+00:00
S00062,2025-01-01T13:45:00+00:00,2025-01-01T15:20:00+00:00
S00142,2025-01-01T13:50:00+00:00,2025-01-01T15:20:00+00:00
S00225,2025-01-01T13:50:00+00:00,2025-01-01T18:05:00+00:00
S00121,2025-01-01T14:15:00+00:00,2025-01-01T18:10:00+00:00
S00026,2025-01-01T14:20:00+00:00,2025-01-01T16:40:00+00:00
S00101,2025-01-01T14:25:00+00:00,2025-01-01T14:55:00+00:00
S00246,2025-01-01T14:45:00+00:00,2025-01-01T16:50:00+00:00
S00082,2025-01-01T14:50:00+00:00,2025-01-01T16:40:00+00:00
S00205,2025-01-01T15:05:00+00:00,2025-01-01T18:50:00+00:00
S00266,2025-01-01T15:20:00+00:00,2025-01-01T20:10:00+00:00
S00185,2025-01-01T15:20:00+00:00,2025-01-01T20:20:00+00:00
S00143,2025-01-01T15:40:00+00:00,2025-01-01T16:40:00+00:00
S00045,2025-01-01T15:50:00+00:00,2025-01-01T19:50:00+00:00
S00166,2025-01-01T16:10:00+00:00,2025-01-01T16:55:00+00:00
S00006,2025-01-01T16:10:00+00:00,2025-01-01T20:15:00+00:00
S00102,2025-01-01T16:35:00+00:00,2025-01-01T18:45:00+00:00
S00286,2025-01-01T16:55:00+00:00,2025-01-01T19:25:00+00:00
S00063,2025-01-01T17:05:00+00:00,2025-01-01T20:10:00+00:00
S00167,2025-01-01T17:25:00+00:00,2025-01-01T19:55:00+00:00
S00304,2025-01-01T17:25:00+00:00,2025-01-01T20:50:00+00:00
S00027,2025-01-01T17:40:00+00:00,2025-01-01T21:20:00+00:00
S00247,2025-01-01T17:50:00+00:00,2025-01-01T22:30:00+00:00
S00083,2025-01-01T18:10:00+00:00,2025-01-01T18:40:00+00:00
S00144,2025-01-01T18:30:00+00:00,2025-01-01T21:15:00+00:00
S00226,2025-01-01T19:00:00+00:00,2025-01-01T20:35:00+00:00
S00122,2025-01-01T19:10:00+00:00,2025-01-01T22:00:00+00:00
S00168,2025-01-01T20:00:00+00:00,2025-01-01T22:30:00+00:00
S00103,2025-01-01T20:05:00+00:00,2025-01-01T20:40:00+00:00
S00206,2025-01-01T20:25:00+00:00,2025-01-01T21:25:00+00:00
S00084,2025-01-01T20:30:00+00:00,2025-01-02T00:50:00+00:00
S00046,2025-01-01T20:35:00+00:00,2025-01-02T00:45:00+00:00
S00186,2025-01-01T20:50:00+00:00,2025-01-01T21:40:00+00:00
S00287,2025-01-01T21:00:00+00:00,2025-01-01T22:30:00+00:00
S00104,2025-01-01T21:00:00+00:00,2025-01-01T23:25:00+00:00
S00305,2025-01-01T21:15:00+00:00,2025-01-01T22:45:00+00:00
S00064,2025-01-01T21:15:00+00:00,2025-01-02T01:10:00+00:00
S00267,2025-01-01T21:25:00+00:00,2025-01-01T23:45:00+00:00
S00207,2025-01-01T21:40:00+00:00,2025-01-02T01:00:00+00:00
S00028,2025-01-01T22:05:00+00:00,2025-01-02T02:50:00+00:00
S00145,2025-01-01T22:15:00+00:00,2025-01-02T01:00:00+00:00
S00007,2025-01-01T22:15:00+00:00,2025-01-02T01:35:00+00:00
S00227,2025-01-01T22:25:00+00:00,2025-01-02T02:15:00+00:00
S00248,2025-01-01T22:40:00+00:00,2025-01-02T01:00:00+00:00
S00288,2025-01-01T23:15:00+00:00,2025-01-01T23:55:00+00:00
S00169,2025-01-01T23:15:00+00:00,2025-01-02T03:55:00+00:00
S00187,2025-01-01T23:20:00+00:00,2025-01-02T00:10:00+00:00
S00123,2025-01-01T23:25:00+00:00,2025-01-02T02:15:00+00:00
S00306,2025-01-01T23:55:00+00:00,2025-01-02T03:55:00+00:00
S00105,2025-01-02T00:15:00+00:00,2025-01-02T02:00:00+00:00
S00268,2025-01-02T00:35:00+00:00,2025-01-02T05:25:00+00:00
S00085,2025-01-02T01:10:00+00:00,2025-01-02T05:15:00+00:00
S00208,2025-01-02T01:35:00+00:00,2025-01-02T04:45:00+00:00
S00249,2025-01-02T01:35:00+00:00,2025-01-02T05:40:00+00:00
S00289,2025-01-02T01:50:00+00:00,2025-01-02T04:35:00+00:00
S00008,2025-01-02T01:50:00+00:00,2025-01-02T05:25:00+00:00
S00188,2025-01-02T02:00:00+00:00,2025-01-02T03:45:00+00:00
S00106,2025-01-02T02:10:00+00:00,2025-01-02T03:55:00+00:00
S00146,2025-01-02T02:10:00+00:00,2025-01-02T05:05:00+00:00
S00065,2025-01-02T02:25:00+00:00,2025-01-02T03:40:00+00:00
S00124,2025-01-02T02:35:00+00:00,2025-01-02T04:20:00+00:00
S00047,2025-01-02T02:35:00+00:00,2025-01-02T06:30:00+00:00
S00228,2025-01-02T03:00:00+00:00,2025-01-02T06:10:00+00:00
S00029,2025-01-02T03:00:00+00:00,2025-01-02T07:20:00+00:00
S00066,2025-01-02T04:25:00+00:00,2025-01-02T05:35:00+00:00
S00290,2025-01-02T04:40:00+00:00,2025-01-02T07:55:00+00:00
S00189,2025-01-02T04:50:00+00:00,2025-01-02T05:55:00+00:00
S00125,2025-01-02T05:00:00+00:00,2025-01-02T05:50:00+00:00
S00307,2025-01-02T05:00:00+00:00,2025-01-02T09:05:00+00:00
S00170,2025-01-02T05:10:00+00:00,2025-01-02T07:10:00+00:00
S00107,2025-01-02T05:30:00+00:00,2025-01-02T06:25:00+00:00
S00209,2025-01-02T05:30:00+00:00,2025-01-02T06:40:00+00:00
S00269,2025-01-02T06:05:00+00:00,2025-01-02T07:45:00+00:00
S00067,2025-01-02T06:15:00+00:00,2025-01-02T10:40:00+00:00
S00250,2025-01-02T06:20:00+00:00,2025-01-02T10:20:00+00:00
S00009,2025-01-02T06:35:00+00:00,2025-01-02T07:15:00+00:00
S00108,2025-01-02T06:40:00+00:00,2025-01-02T11:00:00+00:00
S00126,2025-01-02T06:45:00+00:00,2025-01-02T07:20:00+00:00
S00048,2025-01-02T06:45:00+00:00,2025-01-02T10:25:00+00:00
S00086,2025-01-02T06:45:00+00:00,2025-01-02T11:15:00+00:00
S00147,2025-01-02T07:05:00+00:00,2025-01-02T07:50:00+00:00
S00010,2025-01-02T07:20:00+00:00,2025-01-02T08:15:00+00:00
S00190,2025-01-02T07:30:00+00:00,2025-01-02T09:15:00+00:00
S00229,2025-01-02T07:30:00+00:00,2025-01-02T09:20:00+00:00
S00210,2025-01-02T07:40:00+00:00,2025-01-02T08:30:00+00:00
S00270,2025-01-02T07:50:00+00:00,2025-01-02T11:50:00+00:00
S00171,2025-01-02T08:20:00+00:00,2025-01-02T12:30:00+00:00
S00030,2025-01-02T08:35:00+00:00,2025-01-02T11:55:00+00:00
S00011,2025-01-02T08:50:00+00:00,2025-01-02T10:30:00+00:00
S00127,2025-01-02T08:55:00+00:00,2025-01-02T12:20:00+00:00
S00211,2025-01-02T09:10:00+00:00,2025-01-02T11:35:00+00:00
S00291,2025-01-02T09:25:00+00:00,2025-01-02T13:30:00+00:00
S00230,2025-01-02T09:30:00+00:00,2025-01-02T10:25:00+00:00
S00148,2025-01-02T09:40:00+00:00,2025-01-02T13:35:00+00:00
S00251,2025-01-02T10:40:00+00:00,2025-01-02T13:00:00+00:00
S00191,2025-01-02T10:50:00+00:00,2025-01-02T14:30:00+00:00
S00308,2025-01-02T11:05:00+00:00,2025-01-02T12:30:00+00:00
S00012,2025-01-02T11:55:00+00:00,2025-01-02T15:35:00+00:00
S00087,2025-01-02T12:00:00+00:00,2025-01-02T16:35:00+00:00
S00049,2025-01-02T12:10:00+00:00,2025-01-02T13:30:00+00:00
S00231,2025-01-02T12:10:00+00:00,2025-01-02T14:55:00+00:00
S00068,2025-01-02T12:10:00+00:00,2025-01-02T15:30:00+00:00
S00031,2025-01-02T12:15:00+00:00,2025-01-02T14:45:00+00:00
S00109,2025-01-02T12:20:00+00:00,2025-01-02T17:10:00+00:00
S00212,2025-01-02T12:25:00+00:00,2025-01-02T13:45:00+00:00
S00271,2025-01-02T12:25:00+00:00,2025-01-02T15:00:00+00:00
S00128,2025-01-02T13:00:00+00:00,2025-01-02T16:35:00+00:00
S00309,2025-01-02T14:10:00+00:00,2025-01-02T17:40:00+00:00
S00252,2025-01-02T14:30:00+00:00,2025-01-02T17:10:00+00:00
S00172,2025-01-02T14:30:00+00:00,2025-01-02T19:10:00+00:00
S00192,2025-01-02T14:40:00+00:00,2025-01-02T18:25:00+00:00
S00032,2025-01-02T15:00:00+00:00,2025-01-02T18:25:00+00:00
S00050,2025-01-02T15:00:00+00:00,2025-01-02T19:20:00+00:00
S00213,2025-01-02T15:00:00+00:00,2025-01-02T19:55:00+00:00
S00149,2025-01-02T15:20:00+00:00,2025-01-02T16:20:00+00:00
S00292,2025-01-02T15:30:00+00:00,2025-01-02T19:55:00+00:00
S00232,2025-01-02T15:40:00+00:00,2025-01-02T16:20:00+00:00
S00013,2025-01-02T15:40:00+00:00,2025-01-02T19:05:00+00:00
S00272,2025-01-02T15:55:00+00:00,2025-01-02T17:50:00+00:00
S00069,2025-01-02T16:15:00+00:00,2025-01-02T20:40:00+00:00
S00233,2025-01-02T16:25:00+00:00,2025-01-02T18:40:00+00:00
S00150,2025-01-02T16:30:00+00:00,2025-01-02T19:05:00+00:00
S00129,2025-01-02T17:15:00+00:00,2025-01-02T17:45:00+00:00
S00110,2025-01-02T17:25:00+00:00,2025-01-02T21:55:00+00:00
S00130,2025-01-02T18:00:00+00:00,2025-01-02T22:15:00+00:00
S00273,2025-01-02T18:05:00+00:00,2025-01-02T22:40:00+00:00
S00088,2025-01-02T18:20:00+00:00,2025-01-02T20:35:00+00:00
S00310,2025-01-02T18:30:00+00:00,2025-01-02T21:05:00+00:00
S00193,2025-01-02T18:40:00+00:00,2025-01-02T21:20:00+00:00
S00253,2025-01-02T18:50:00+00:00,2025-01-02T23:15:00+00:00
S00234,2025-01-02T19:05:00+00:00,2025-01-02T22:55:00+00:00
S00033,2025-01-02T19:15:00+00:00,2025-01-03T00:10:00+00:00
S00014,2025-01-02T19:40:00+00:00,2025-01-02T23:55:00+00:00
S00051,2025-01-02T20:00:00+00:00,2025-01-02T21:20:00+00:00
S00173,2025-01-02T20:40:00+00:00,2025-01-03T00:40:00+00:00
S00089,2025-01-02T20:55:00+00:00,2025-01-02T22:55:00+00:00
S00151,2025-01-02T21:05:00+00:00,2025-01-02T23:20:00+00:00
S00214,2025-01-02T21:25:00+00:00,2025-01-03T01:40:00+00:00
S00293,2025-01-02T21:55:00+00:00,2025-01-03T01:55:00+00:00
S00070,2025-01-02T22:15:00+00:00,2025-01-03T01:00:00+00:00
S00052,2025-01-02T22:35:00+00:00,2025-01-03T01:05:00+00:00
S00311,2025-01-02T22:35:00+00:00,2025-01-03T03:30:00+00:00
S00194,2025-01-02T23:10:00+00:00,2025-01-03T02:45:00+00:00
S00274,2025-01-02T23:25:00+00:00,2025-01-03T01:45:00+00:00
S00111,2025-01-02T23:25:00+00:00,2025-01-03T04:00:00+00:00
S00235,2025-01-02T23:40:00+00:00,2025-01-03T01:00:00+00:00
S00152,2025-01-02T23:40:00+00:00,2025-01-03T01:25:00+00:00
S00254,2025-01-02T23:40:00+00:00,2025-01-03T01:25:00+00:00
S00131,2025-01-03T00:00:00+00:00,2025-01-03T00:45:00+00:00
S00090,2025-01-03T00:05:00+00:00,2025-01-03T01:25:00+00:00
S00132,2025-01-03T01:25:00+00:00,2025-01-03T02:15:00+00:00
S00015,2025-01-03T01:40:00+00:00,2025-01-03T05:50:00+00:00
S00053,2025-01-03T01:50:00+00:00,2025-01-03T05:40:00+00:00
S00034,2025-01-03T01:55:00+00:00,2025-01-03T05:40:00+00:00
S00255,2025-01-03T01:55:00+00:00,2025-01-03T06:40:00+00:00
S00153,2025-01-03T02:00:00+00:00,2025-01-03T03:30:00+00:00
S00133,2025-01-03T02:25:00+00:00,2025-01-03T04:40:00+00:00
S00294,2025-01-03T02:30:00+00:00,2025-01-03T04:55:00+00:00
S00215,2025-01-03T02:30:00+00:00,2025-01-03T06:15:00+00:00
S00071,2025-01-03T02:35:00+00:00,2025-01-03T05:10:00+00:00
S00174,2025-01-03T02:35:00+00:00,2025-01-03T05:40:00+00:00
S00091,2025-01-03T02:40:00+00:00,2025-01-03T03:10:00+00:00
S00236,2025-01-03T03:00:00+00:00,2025-01-03T05:50:00+00:00
S00275,2025-01-03T03:30:00+00:00,2025-01-03T06:40:00+00:00
S00312,2025-01-03T03:35:00+00:00,2025-01-03T05:40:00+00:00
S00195,2025-01-03T04:20:00+00:00,2025-01-03T07:35:00+00:00
S00112,2025-01-03T04:25:00+00:00,2025-01-03T05:35:00+00:00
S00134,2025-01-03T04:55:00+00:00,2025-01-03T08:05:00+00:00
S00154,2025-01-03T05:00:00+00:00,2025-01-03T07:50:00+00:00
S00092,2025-01-03T05:10:00+00:00,2025-01-03T09:30:00+00:00
S00295,2025-01-03T06:05:00+00:00,2025-01-03T06:55:00+00:00
S00175,2025-01-03T06:05:00+00:00,2025-01-03T07:35:00+00:00
S00072,2025-01-03T06:10:00+00:00,2025-01-03T07:50:00+00:00
S00313,2025-01-03T06:30:00+00:00,2025-01-03T08:05:00+00:00
S00035,2025-01-03T06:40:00+00:00,2025-01-03T10:10:00+00:00
S00256,2025-01-03T07:10:00+00:00,2025-01-03T09:50:00+00:00
S00016,2025-01-03T07:20:00+00:00,2025-01-03T10:00:00+00:00
S00237,2025-01-03T07:20:00+00:00,2025-01-03T11:35:00+00:00
S00113,2025-01-03T07:25:00+00:00,2025-01-03T10:25:00+00:00
S00054,2025-01-03T07:35:00+00:00,2025-01-03T11:00:00+00:00
S00276,2025-01-03T07:45:00+00:00,2025-01-03T11:50:00+00:00
S00216,2025-01-03T08:00:00+00:00,2025-01-03T11:15:00+00:00
S00155,2025-01-03T08:15:00+00:00,2025-01-03T11:00:00+00:00
S00073,2025-01-03T08:15:00+00:00,2025-01-03T11:25:00+00:00
S00176,2025-01-03T08:25:00+00:00,2025-01-03T10:00:00+00:00
S00196,2025-01-03T08:30:00+00:00,2025-01-03T10:20:00+00:00
S00135,2025-01-03T08:45:00+00:00,2025-01-03T10:40:00+00:00
S00296,2025-01-03T08:45:00+00:00,2025-01-03T11:00:00+00:00
S00314,2025-01-03T09:15:00+00:00,2025-01-03T13:55:00+00:00
S00257,2025-01-03T09:55:00+00:00,2025-01-03T11:20:00+00:00
S00177,2025-01-03T10:10:00+00:00,2025-01-03T13:45:00+00:00
S00093,2025-01-03T10:15:00+00:00,2025-01-03T13:25:00+00:00
S00017,2025-01-03T10:40:00+00:00,2025-01-03T13:30:00+00:00
S00036,2025-01-03T10:45:00+00:00,2025-01-03T15:00:00+00:00
S00197,2025-01-03T10:55:00+00:00,2025-01-03T14:55:00+00:00
S00217,2025-01-03T11:20:00+00:00,2025-01-03T15:20:00+00:00
S00156,2025-01-03T11:30:00+00:00,2025-01-03T13:25:00+00:00
S00055,2025-01-03T11:40:00+00:00,2025-01-03T15:45:00+00:00
S00114,2025-01-03T11:55:00+00:00,2025-01-03T13:15:00+00:00
S00136,2025-01-03T12:30:00+00:00,2025-01-03T15:35:00+00:00
S00297,2025-01-03T12:40:00+00:00,2025-01-03T14:50:00+00:00
S00074,2025-01-03T12:45:00+00:00,2025-01-03T13:40:00+00:00
S00238,2025-01-03T12:45:00+00:00,2025-01-03T16:10:00+00:00
S00258,2025-01-03T13:20:00+00:00,2025-01-03T15:35:00+00:00
S00277,2025-01-03T13:20:00+00:00,2025-01-03T15:35:00+00:00
S00075,2025-01-03T13:50:00+00:00,2025-01-03T14:55:00+00:00
S00094,2025-01-03T13:55:00+00:00,2025-01-03T17:05:00+00:00
S00115,2025-01-03T14:00:00+00:00,2025-01-03T17:15:00+00:00
S00157,2025-01-03T14:40:00+00:00,2025-01-03T16:25:00+00:00
S00018,2025-01-03T15:05:00+00:00,2025-01-03T17:00:00+00:00
S00037,2025-01-03T15:15:00+00:00,2025-01-03T15:55:00+00:00
S00076,2025-01-03T15:20:00+00:00,2025-01-03T19:10:00+00:00
S00315,2025-01-03T15:30:00+00:00,2025-01-03T19:10:00+00:00
S00278,2025-01-03T15:40:00+00:00,2025-01-03T16:45:00+00:00
S00178,2025-01-03T15:45:00+00:00,2025-01-03T19:05:00+00:00
S00137,2025-01-03T16:10:00+00:00,2025-01-03T19:30:00+00:00
S00239,2025-01-03T16:15:00+00:00,2025-01-03T17:20:00+00:00
S00158,2025-01-03T16:40:00+00:00,2025-01-03T19:30:00+00:00
S00056,2025-01-03T16:40:00+00:00,2025-01-03T21:35:00+00:00
S00298,2025-01-03T16:40:00+00:00,2025-01-03T21:40:00+00:00
S00259,2025-01-03T16:45:00+00:00,2025-01-03T21:30:00+00:00
S00218,2025-01-03T16:50:00+00:00,2025-01-03T18:55:00+00:00
S00198,2025-01-03T16:50:00+00:00,2025-01-03T19:00:00+00:00
S00019,2025-01-03T17:05:00+00:00,2025-01-03T21:35:00+00:00
S00095,2025-01-03T17:25:00+00:00,2025-01-03T21:15:00+00:00
S00279,2025-01-03T17:30:00+00:00,2025-01-03T18:55:00+00:00
S00240,2025-01-03T17:35:00+00:00,2025-01-03T21:45:00+00:00
S00038,2025-01-03T17:45:00+00:00,2025-01-03T19:25:00+00:00
S00116,2025-01-03T18:55:00+00:00,2025-01-03T21:40:00+00:00
S00179,2025-01-03T19:15:00+00:00,2025-01-03T23:40:00+00:00
S00199,2025-01-03T19:40:00+00:00,2025-01-03T21:30:00+00:00
S00077,2025-01-03T19:40:00+00:00,2025-01-04T00:00:00+00:00
S00138,2025-01-03T19:55:00+00:00,2025-01-04T00:00:00+00:00
S00039,2025-01-03T20:15:00+00:00,2025-01-03T21:10:00+00:00
S00280,2025-01-03T20:30:00+00:00,2025-01-03T22:20:00+00:00
S00219,2025-01-03T20:45:00+00:00,2025-01-03T21:45:00+00:00
S00316,2025-01-03T20:55:00+00:00,2025-01-03T23:05:00+00:00
S00159,2025-01-03T21:00:00+00:00,2025-01-03T22:00:00+00:00
S00057,2025-01-03T21:45:00+00:00,2025-01-03T23:25:00+00:00
S00040,2025-01-03T21:50:00+00:00,2025-01-03T22:50:00+00:00
S00299,2025-01-03T22:00:00+00:00,2025-01-04T00:00:00+00:00
S00020,2025-01-03T22:05:00+00:00,2025-01-04T00:00:00+00:00
S00096,2025-01-03T22:05:00+00:00,2025-01-04T00:00:00+00:00
S00160,2025-01-03T22:10:00+00:00,2025-01-04T00:00:00+00:00
S00220,2025-01-03T22:10:00+00:00,2025-01-04T00:00:00+00:00
S00241,2025-01-03T22:10:00+00:00,2025-01-04T00:00:00+00:00
S00117,2025-01-03T22:15:00+00:00,2025-01-04T00:00:00+00:00
S00281,2025-01-03T22:30:00+00:00,2025-01-03T23:30:00+00:00
S00200,2025-01-03T22:35:00+00:00,2025-01-03T23:45:00+00:00
S00260,2025-01-03T23:20:00+00:00,2025-01-04T00:00:00+00:00
